Model,Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
forest,1,2,0.7670869827270508,21.351435156704007,3.7194630257926136,0.49730342956934914,nan,nan,nan,nan,nan
forest,1,3,0.7759630680084229,21.809128637583186,3.695608396436757,0.47248080419805094,nan,nan,nan,nan,nan
forest,1,4,0.7656559944152832,19.459247777700497,3.496471114461047,0.5314033134452629,nan,nan,nan,nan,nan
forest,1,5,0.7731385231018066,22.587198521628135,3.801219216314582,0.5512261511152788,nan,nan,nan,nan,nan
forest,2,1,10.414944171905518,nan,nan,nan,0.7195571955719557,0.7245283018867924,0.7084870848708487,0.7164179104477612,0.7195571955719557
forest,2,2,10.53063678741455,nan,nan,nan,0.6798892988929889,0.6857142857142857,0.6642066420664207,0.6747891283973758,0.6798892988929889
forest,2,3,10.497913599014282,nan,nan,nan,0.7223247232472325,0.7321772639691715,0.7011070110701108,0.7163053722902922,0.7223247232472325
forest,2,4,10.924962282180786,nan,nan,nan,0.7260147601476015,0.7525773195876289,0.6734317343173432,0.7108081791626094,0.7260147601476015
forest,2,5,10.264583110809326,nan,nan,nan,0.7103321033210332,0.7167300380228137,0.6955719557195572,0.7059925093632958,0.7103321033210332
forest,3,1,8.25086259841919,nan,nan,nan,0.7052270779777207,0.7709750566893424,0.5831903945111492,0.6640624999999999,0.7051225945158487
forest,3,2,8.30819582939148,nan,nan,nan,0.7086546700942588,0.7850467289719626,0.5753424657534246,0.6640316205533597,0.7087690030310863
forest,3,3,8.644410848617554,nan,nan,nan,0.7043701799485861,0.7547974413646056,0.6061643835616438,0.6723646723646725,0.7044544044737894
forest,3,4,8.632970333099365,nan,nan,nan,0.7035132819194516,0.7793427230046949,0.5684931506849316,0.6574257425742575,0.7036290796306305
forest,3,5,8.492032051086426,nan,nan,nan,0.7103684661525278,0.789598108747045,0.5728987993138936,0.6640159045725645,0.7102507695199605
forest,4,1,1.433896780014038,nan,nan,nan,0.8159111933395005,0.8626444159178434,0.8795811518324608,0.8710304601425795,0.7710208598279022
forest,4,2,1.4212431907653809,nan,nan,nan,0.7946345975948196,0.8362282878411911,0.8821989528795812,0.8585987261146496,0.7328975836953111
forest,4,3,1.4140992164611816,nan,nan,nan,0.7983348751156337,0.842964824120603,0.8782722513089005,0.8602564102564103,0.7419752423736932
forest,4,4,1.4326376914978027,nan,nan,nan,0.8094357076780758,0.8576923076923076,0.8756544502617801,0.8665803108808291,0.7627483607775778
forest,4,5,1.4281718730926514,nan,nan,nan,0.8140610545790934,0.845398773006135,0.9018324607329843,0.8727042431918935,0.7521780600194892
forest,5,1,1.9944648742675781,0.5632841250291779,0.6002522011010456,0.2748946780430038,nan,nan,nan,nan,nan
forest,5,2,2.0167508125305176,0.5494629774203699,0.5951523788750523,0.2446605362901637,nan,nan,nan,nan,nan
forest,5,3,1.983252763748169,0.6199869566257793,0.6283127715419369,0.24774854206208885,nan,nan,nan,nan,nan
forest,5,4,1.99192214012146,0.5218771882152222,0.585410458805541,0.28808600699527753,nan,nan,nan,nan,nan
forest,5,5,1.9945645332336426,0.5414488497376134,0.589380408575553,0.25903339674545334,nan,nan,nan,nan,nan
mlp,1,1,88.18067049980164,21.354171752929688,3.558609962463379,0.5460326406738445,nan,nan,nan,nan,nan
mlp,1,2,75.81528186798096,26.152402877807617,3.9657399654388428,0.38426981475249755,nan,nan,nan,nan,nan
mlp,1,3,86.9091010093689,24.579370498657227,3.810870409011841,0.4054742076997453,nan,nan,nan,nan,nan
mlp,1,4,81.24067378044128,22.315736770629883,3.5449323654174805,0.46261645992822187,nan,nan,nan,nan,nan
