Model,Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
mlp,1,4,86.83674788475037,19.585683822631836,3.5491151809692383,0.5283586290455387,nan,nan,nan,nan,nan
mlp,1,5,75.4008207321167,19.533708572387695,3.4819116592407227,0.6118944270857167,nan,nan,nan,nan,nan
mlp,2,1,6.388192653656006,nan,nan,nan,0.7001845018450185,0.6990825688073394,0.7029520295202952,0.7010119595216192,0.7001845018450185
mlp,2,2,5.784581899642944,nan,nan,nan,0.6974169741697417,0.6924460431654677,0.7103321033210332,0.7012750455373407,0.6974169741697417
mlp,2,3,5.991577863693237,nan,nan,nan,0.7214022140221402,0.7238805970149254,0.7158671586715867,0.719851576994434,0.7214022140221402
mlp,2,4,6.2319176197052,nan,nan,nan,0.705719557195572,0.7099811676082862,0.6955719557195572,0.7027027027027027,0.705719557195572
mlp,2,5,6.185357332229614,nan,nan,nan,0.7140221402214022,0.7132352941176471,0.7158671586715867,0.714548802946593,0.7140221402214022
mlp,3,1,5.824944734573364,nan,nan,nan,0.713796058269066,0.7135506003430532,0.7135506003430532,0.7135506003430532,0.7137958481167321
mlp,3,2,6.431200981140137,nan,nan,nan,0.7086546700942588,0.7186379928315412,0.6866438356164384,0.702276707530648,0.7086735473107922
mlp,3,3,5.985653638839722,nan,nan,nan,0.6915167095115681,0.6937716262975778,0.6866438356164384,0.6901893287435457,0.6915208886486994
mlp,3,4,5.959792375564575,nan,nan,nan,0.7163667523564696,0.7238938053097345,0.7003424657534246,0.711923411662315,0.7163804953123898
mlp,3,5,6.616762161254883,nan,nan,nan,0.7060839760068551,0.7120141342756183,0.6912521440823327,0.70147954743255,0.7060712775206184
mlp,4,1,202.54407358169556,nan,nan,nan,0.8288621646623496,0.8949522510231923,0.8586387434554974,0.8764195056780227,0.8078682676268023
mlp,4,2,201.4947612285614,nan,nan,nan,0.816836262719704,0.9161764705882353,0.8154450261780105,0.8628808864265929,0.8178171503129801
mlp,4,3,196.87778496742249,nan,nan,nan,0.7964847363552267,0.9096385542168675,0.7905759162303665,0.84593837535014,0.8006507341404199
mlp,4,4,198.23020362854004,nan,nan,nan,0.8177613320999075,0.9138686131386862,0.819371727748691,0.8640441683919944,0.8166259269658283
mlp,4,5,200.3590235710144,nan,nan,nan,0.8251618871415356,0.900976290097629,0.8455497382198953,0.8723835246455098,0.8107874874064777
mlp,5,1,151.66882848739624,0.5725817680358887,0.5812454223632812,0.26292602122768505,nan,nan,nan,nan,nan
mlp,5,2,226.23654913902283,0.520036518573761,0.5674070119857788,0.2851126147144658,nan,nan,nan,nan,nan
mlp,5,3,190.6961100101471,0.5673577189445496,0.5833626389503479,0.3116053737306633,nan,nan,nan,nan,nan
mlp,5,4,165.2807650566101,0.5159066319465637,0.5669564008712769,0.2962307462917064,nan,nan,nan,nan,nan
mlp,5,5,178.43562507629395,0.49712318181991577,0.5561250448226929,0.31969263606950316,nan,nan,nan,nan,nan
neumiss,1,1,308.4695315361023,20.831296920776367,3.4691967964172363,0.5571484320226169,nan,nan,nan,nan,nan
neumiss,1,2,359.85627150535583,127.1917724609375,9.119048118591309,-1.9945934705900084,nan,nan,nan,nan,nan
neumiss,1,3,1000.6887285709381,92.44944763183594,6.597934246063232,-1.2361672197093942,nan,nan,nan,nan,nan
neumiss,1,4,310.8280518054962,101.84484100341797,7.6042633056640625,-1.4525178559684329,nan,nan,nan,nan,nan
neumiss,1,5,315.6169083118439,116.77727508544922,8.484206199645996,-1.320189719449556,nan,nan,nan,nan,nan
neumiss,2,1,55.95865535736084,nan,nan,nan,0.672509225092251,0.6690777576853526,0.6826568265682657,0.6757990867579908,0.6725092250922509
neumiss,2,2,51.544443130493164,nan,nan,nan,0.6734317343173432,0.674074074074074,0.6715867158671587,0.6728280961182994,0.673431734317343
neumiss,2,3,53.84246349334717,nan,nan,nan,0.690959409594096,0.6913123844731978,0.6900369003690037,0.6906740535549399,0.690959409594096
neumiss,2,4,55.050654888153076,nan,nan,nan,0.6891143911439115,0.6880733944954128,0.6918819188191881,0.6899724011039559,0.6891143911439115
neumiss,2,5,53.09687876701355,nan,nan,nan,0.6678966789667896,0.6579861111111112,0.6992619926199262,0.6779964221824687,0.6678966789667895
neumiss,3,1,9.317434787750244,nan,nan,nan,0.6975149957155099,0.6885245901639344,0.7204116638078902,0.7041072925398155,0.6975345990272328
neumiss,3,2,8.835613489151001,nan,nan,nan,0.6855184233076264,0.6954954954954955,0.660958904109589,0.6777875329236173,0.6855394863601119
neumiss,3,3,8.770120859146118,nan,nan,nan,0.6820908311910883,0.67779632721202,0.6952054794520548,0.6863905325443787,0.6820795836368336
neumiss,3,4,9.556644439697266,nan,nan,nan,0.6889460154241646,0.6942003514938488,0.6763698630136986,0.6851691240242844,0.6889568011466434
neumiss,3,5,10.191540718078613,nan,nan,nan,0.6915167095115681,0.6932409012131716,0.6861063464837049,0.6896551724137931,0.6915120773514415
neumiss,4,1,1497.7170069217682,nan,nan,nan,0.8001850138760407,0.9335443037974683,0.7722513089005235,0.8452722063037249,0.8198795976679274
neumiss,4,2,274.2233967781067,nan,nan,nan,0.816836262719704,0.9161764705882353,0.8154450261780105,0.8628808864265929,0.8178171503129801
neumiss,4,3,388.9000246524811,nan,nan,nan,0.7946345975948196,0.9106060606060606,0.7866492146596858,0.8441011235955057,0.8002646704213257
neumiss,4,4,1164.644855260849,nan,nan,nan,0.8020351526364478,0.8884180790960452,0.8232984293193717,0.8546195652173914,0.7870435364262474
neumiss,4,5,1407.5970966815948,nan,nan,nan,0.8223866790009251,0.8928571428571429,0.8507853403141361,0.8713136729222521,0.8023642789898755
neumiss,5,1,837.6488013267517,0.7338513135910034,0.5818971395492554,0.055326634630447624,nan,nan,nan,nan,nan
neumiss,5,2,242.81900691986084,0.5500573515892029,0.5681406259536743,0.24384349031843744,nan,nan,nan,nan,nan
neumiss,5,3,751.8032472133636,0.5675411820411682,0.5802176594734192,0.31138281100766696,nan,nan,nan,nan,nan
neumiss,5,4,328.466349363327,0.4886285066604614,0.5514912009239197,0.3334418736670324,nan,nan,nan,nan,nan
neumiss,5,5,471.913122177124,0.5154004096984863,0.5642463564872742,0.2946804568525795,nan,nan,nan,nan,nan
